Journal,缩写,ISSN,EISSN,Catalog,Publisher,CAS-zone,JCR-zone,2024-IF,5-year-IF,JIF Rank,
CA-A CANCER JOURNAL FOR CLINICIANS,CA-CANCER J CLIN,0007-9235,1542-4863,医学,WILEY,1,Q1,232.4,353.0,1/326,
NATURE REVIEWS MICROBIOLOGY,NAT REV MICROBIOL,1740-1526,1740-1534,生物学,NATURE PORTFOLIO,1,Q1,103.3,99.1,1/163,
NATURE REVIEWS DRUG DISCOVERY,NAT REV DRUG DISCOV,1474-1776,1474-1784,医学,NATURE PORTFOLIO,1,Q1,101.8,129.8,1/352,
NATURE REVIEWS MOLECULAR CELL BIOLOGY,NAT REV MOL CELL BIO,1471-0072,1471-0080,生物学,NATURE PORTFOLIO,1,Q1,90.2,128.7,1/204,
Kidney International Supplements,KIDNEY INT SUPPL,2157-1724,2157-1716,医学,ELSEVIER SCIENCE INC,2,Q1,89.6,26.0,1/133,
LANCET,LANCET,0140-6736,1474-547X,医学,ELSEVIER SCIENCE INC,1,Q1,88.5,104.8,1/332,
Nature Reviews Materials,NAT REV MATER,2058-8437,2058-8437,N/A,NATURE PORTFOLIO,N/A,Q1,86.2,99.8,1/460,
Nature Reviews Clinical Oncology,NAT REV CLIN ONCOL,1759-4774,1759-4782,医学,NATURE PORTFOLIO,1,Q1,82.2,89.9,2/326,
NEW ENGLAND JOURNAL OF MEDICINE,NEW ENGL J MED,0028-4793,1533-4406,医学,MASSACHUSETTS MEDICAL SOC,1,Q1,78.5,84.9,2/332,
Nature Reviews Earth & Environment,NAT REV EARTH ENV,N/A,2662-138X,地球科学,SPRINGERNATURE,1,Q1,71.5,73.7,1/374,
NATURE REVIEWS CANCER,NAT REV CANCER,1474-175X,1474-1768,医学,NATURE PORTFOLIO,1,Q1,66.8,81.0,3/326,
World Psychiatry,WORLD PSYCHIATRY,1723-8617,2051-5545,医学,WILEY,1,Q1,65.8,60.0,1/288,
ANNALS OF ONCOLOGY,ANN ONCOL,0923-7534,1569-8041,医学,ELSEVIER,1,Q1,65.4,46.8,4/326,
Living Reviews in Relativity,LIVING REV RELATIV,2367-3613,1433-8351,物理与天体物理,SPRINGER INT PUBL AG,1,Q1,62.5,52.4,1/31,
NATURE REVIEWS IMMUNOLOGY,NAT REV IMMUNOL,1474-1733,1474-1741,医学,NATURE PORTFOLIO,1,Q1,60.9,77.6,1/183,
Nature Reviews Disease Primers,NAT REV DIS PRIMERS,2056-676X,2056-676X,医学,NATURE PORTFOLIO,1,Q1,60.6,104.8,3/332,
MMWR Recommendations and Reports,MMWR RECOMM REP,1057-5987,1545-8601,医学,CENTERS DISEASE CONTROL & PREVENTION,1,Q1,60.1,50.0,1/419,
Nature Energy,NAT ENERGY,2058-7546,2058-7546,材料科学,NATURE PORTFOLIO,1,Q1,60.1,68.9,2/460,
Nature Reviews Methods Primers,NAT REV METHOD PRIME,N/A,2662-8449,综合性期刊,SPRINGERNATURE,1,Q1,56.0,66.9,1/135,
CHEMICAL REVIEWS,CHEM REV,0009-2665,1520-6890,化学,AMER CHEMICAL SOC,1,Q1,55.8,67.5,1/239,
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,JAMA-J AM MED ASSOC,0098-7484,1538-3598,医学,AMER MEDICAL ASSOC,1,Q1,55.0,64.7,4/332,
Signal Transduction and Targeted Therapy,SIGNAL TRANSDUCT TAR,2095-9907,2059-3635,医学,SPRINGERNATURE,1,Q1,52.7,52.2,1/319,
NATURE REVIEWS GENETICS,NAT REV GENET,1471-0056,1471-0064,生物学,NATURE PORTFOLIO,1,Q1,52.0,57.1,1/191,
